SiteName,Season,SurveyYear,SurveyDate,Section,ProtectionArea,NumHumans,NumLeashedDogs,NumUnleashedDogs,NumDogsRoaming,NumDogsChasingBirds,NumDogsChasingPlovers,NumPloversDisturbed,NumHorses,NumVehicles,Notes,QCFlag,QCNotes,SectorStartTime_CALCULATED,SectorEndTime_CALCULATED
Ocean Beach,WINTER,1994,12/15/1994,14,No,2,1,3,1,0,0,0,0,0,,,,1994-12-15T12:00:00Z,1994-12-15T12:00:00Z
Ocean Beach,WINTER,1994,12/17/1994,1,No,21,0,0,1,0,0,0,0,0,,,,1994-12-17T16:31:00Z,1994-12-17T16:31:00Z
Ocean Beach,WINTER,1994,12/17/1994,2,No,30,1,0,2,0,0,0,0,0,,,,1994-12-17T16:20:00Z,1994-12-17T16:31:00Z
Ocean Beach,WINTER,1994,12/17/1994,3,No,37,0,1,1,0,0,0,0,0,,,,1994-12-17T16:02:00Z,1994-12-17T16:20:00Z
Ocean Beach,WINTER,1994,12/17/1994,4,Yes,28,1,2,1,0,0,0,0,0,,,,1994-12-17T15:45:00Z,1994-12-17T16:02:00Z
Ocean Beach,WINTER,1994,12/17/1994,5,Yes,30,0,2,1,0,0,0,0,0,,,,1994-12-17T15:19:00Z,1994-12-17T15:45:00Z
Ocean Beach,WINTER,1994,12/17/1994,6,Yes,46,0,7,4,0,0,0,0,0,,,,1994-12-17T14:35:00Z,1994-12-17T15:19:00Z
Ocean Beach,WINTER,1994,12/17/1994,7,Yes,15,0,0,4,0,0,0,0,0,,,,1994-12-17T14:16:00Z,1994-12-17T14:35:00Z
Ocean Beach,WINTER,1994,12/17/1994,8,Yes,30,0,4,3,2,0,0,0,0,,,,1994-12-17T14:25:00Z,1994-12-17T15:10:00Z
Ocean Beach,WINTER,1994,12/17/1994,9,Yes,13,0,1,2,3,0,0,0,0,,,,1994-12-17T15:10:00Z,1994-12-17T15:30:00Z
Ocean Beach,WINTER,1994,12/17/1994,10,Yes,8,0,2,4,1,0,0,0,0,,,,1994-12-17T15:30:00Z,1994-12-17T15:40:00Z
Ocean Beach,WINTER,1994,12/17/1994,11,Yes,12,0,0,2,0,0,0,0,0,,,,1994-12-17T15:40:00Z,1994-12-17T15:50:00Z
Ocean Beach,WINTER,1994,12/17/1994,12,Yes,16,0,2,1,0,0,0,0,0,,,,1994-12-17T15:50:00Z,1994-12-17T16:00:00Z
Ocean Beach,WINTER,1994,12/17/1994,13,No,30,1,0,2,0,0,0,0,0,,,,1994-12-17T16:00:00Z,1994-12-17T16:10:00Z
Ocean Beach,WINTER,1994,12/17/1994,14,No,11,0,2,1,0,0,0,0,0,,,,1994-12-17T16:10:00Z,1994-12-17T16:15:00Z
Ocean Beach,WINTER,1994,1/3/1995,1,No,4,0,0,0,0,0,0,0,1,bulldozer,,,1995-01-03T11:46:00Z,1995-01-03T12:00:00Z
Ocean Beach,WINTER,1994,1/3/1995,2,No,8,0,2,1,1,0,0,0,0,,,,1995-01-03T11:32:00Z,1995-01-03T11:46:00Z
Ocean Beach,WINTER,1994,1/3/1995,3,No,6,0,0,2,0,0,0,0,0,,,,1995-01-03T11:15:00Z,1995-01-03T11:32:00Z
Ocean Beach,WINTER,1994,1/3/1995,4,Yes,10,0,0,0,0,0,0,0,0,,,,1995-01-03T10:55:00Z,1995-01-03T11:15:00Z
Ocean Beach,WINTER,1994,1/3/1995,5,Yes,4,0,0,1,1,0,0,0,0,helicopter-hc,,,1995-01-03T10:30:00Z,1995-01-03T10:55:00Z
Ocean Beach,WINTER,1994,1/3/1995,6,Yes,11,1,1,1,0,0,0,0,0,,,,1995-01-03T10:10:00Z,1995-01-03T10:30:00Z
Ocean Beach,WINTER,1994,1/3/1995,7,Yes,3,0,0,1,2,0,0,0,0,,,,1995-01-03T09:48:00Z,1995-01-03T10:10:00Z
Ocean Beach,WINTER,1994,1/3/1995,8,Yes,8,3,1,0,0,0,1,0,0,"plover dist, 1hc",,,1995-01-03T10:00:00Z,1995-01-03T10:45:00Z
Ocean Beach,WINTER,1994,1/3/1995,9,Yes,3,0,0,0,0,0,0,0,0,,,,1995-01-03T10:45:00Z,1995-01-03T11:20:00Z
Ocean Beach,WINTER,1994,1/3/1995,10,Yes,7,0,3,0,0,0,0,0,0,,,,1995-01-03T11:20:00Z,1995-01-03T11:25:00Z
Ocean Beach,WINTER,1994,1/3/1995,11,Yes,3,0,2,0,0,0,0,0,0,,,,1995-01-03T11:25:00Z,1995-01-03T11:45:00Z
Ocean Beach,WINTER,1994,1/3/1995,12,Yes,5,0,1,0,0,0,0,0,0,,,,1995-01-03T11:45:00Z,1995-01-03T11:50:00Z
Ocean Beach,WINTER,1994,1/3/1995,13,No,5,0,3,0,0,0,0,0,0,,,,1995-01-03T11:50:00Z,1995-01-03T11:55:00Z
Ocean Beach,WINTER,1994,1/3/1995,14,No,2,0,1,0,0,0,0,0,0,,,,1995-01-03T11:55:00Z,1995-01-03T12:00:00Z
Ocean Beach,WINTER,1994,1/7/1995,1,No,7,0,0,0,0,0,0,0,0,,,,1995-01-07T15:05:00Z,1995-01-07T15:10:00Z
Ocean Beach,WINTER,1994,1/7/1995,2,No,24,0,0,3,0,0,0,0,0,1 low hc,,,1995-01-07T14:55:00Z,1995-01-07T15:05:00Z
Ocean Beach,WINTER,1994,1/7/1995,3,No,35,0,0,4,0,0,0,0,0,hman on bike/1 kite,,,1995-01-07T14:45:00Z,1995-01-07T14:55:00Z
Ocean Beach,WINTER,1994,1/7/1995,4,Yes,25,0,0,7,0,0,0,0,0,,,,1995-01-07T14:30:00Z,1995-01-07T14:45:00Z
Ocean Beach,WINTER,1994,1/7/1995,5,Yes,41,0,0,1,0,0,0,0,0,,,,1995-01-07T14:00:00Z,1995-01-07T14:30:00Z
Ocean Beach,WINTER,1994,1/7/1995,6,Yes,18,0,0,2,0,0,0,0,0,,,,1995-01-07T13:50:00Z,1995-01-07T14:00:00Z
Ocean Beach,WINTER,1994,1/7/1995,7,Yes,9,0,0,2,1,0,0,0,0,,,,1995-01-07T13:25:00Z,1995-01-07T13:50:00Z
Ocean Beach,WINTER,1994,1/7/1995,8,Yes,9,0,0,3,0,0,0,0,0,,,,1995-01-07T13:30:00Z,1995-01-07T13:37:00Z
Ocean Beach,WINTER,1994,1/7/1995,9,Yes,10,0,0,0,0,0,0,0,0,,,,1995-01-07T13:37:00Z,1995-01-07T14:16:00Z
Ocean Beach,WINTER,1994,1/7/1995,10,Yes,1,0,0,0,0,0,0,0,0,,,,1995-01-07T14:16:00Z,1995-01-07T14:36:00Z
Ocean Beach,WINTER,1994,1/7/1995,11,Yes,8,0,0,3,0,0,0,0,0,,,,1995-01-07T14:36:00Z,1995-01-07T14:46:00Z
Ocean Beach,WINTER,1994,1/7/1995,12,Yes,13,0,0,1,0,0,0,0,0,,,,1995-01-07T14:46:00Z,1995-01-07T14:56:00Z
Ocean Beach,WINTER,1994,1/7/1995,13,No,7,0,0,1,0,0,0,0,0,,,,1995-01-07T14:56:00Z,1995-01-07T15:03:00Z
Ocean Beach,WINTER,1994,1/7/1995,14,No,0,0,0,0,0,0,0,0,0,1 hc,,,1995-01-07T15:03:00Z,1995-01-07T15:15:00Z
Ocean Beach,WINTER,1994,1/11/1995,1,No,4,0,0,0,0,0,0,0,0,,,,1995-01-11T10:50:00Z,1995-01-11T10:55:00Z
Ocean Beach,WINTER,1994,1/11/1995,2,No,12,0,0,1,0,0,0,0,0,,,,1995-01-11T10:40:00Z,1995-01-11T10:50:00Z
Ocean Beach,WINTER,1994,1/11/1995,3,No,9,0,0,3,0,0,0,0,0,,,,1995-01-11T10:30:00Z,1995-01-11T10:40:00Z
Ocean Beach,WINTER,1994,1/11/1995,4,Yes,18,0,1,6,0,0,0,0,1,bulldozer,,,1995-01-11T10:20:00Z,1995-01-11T10:30:00Z
Ocean Beach,WINTER,1994,1/11/1995,5,Yes,11,0,1,1,0,0,0,0,0,hman w/bike,,,1995-01-11T10:00:00Z,1995-01-11T10:20:00Z
Ocean Beach,WINTER,1994,1/11/1995,6,Yes,9,0,1,0,0,0,0,0,0,,,,1995-01-11T09:35:00Z,1995-01-11T10:00:00Z
Ocean Beach,WINTER,1994,1/11/1995,7,Yes,7,0,0,1,1,0,0,0,0,,,,1995-01-11T09:15:00Z,1995-01-11T09:35:00Z
Ocean Beach,WINTER,1994,1/11/1995,8,Yes,11,0,1,0,1,0,0,0,0,,,,1995-01-11T09:23:00Z,1995-01-11T09:50:00Z
Ocean Beach,WINTER,1994,1/11/1995,9,Yes,13,0,1,2,0,0,0,0,0,,,,1995-01-11T09:50:00Z,1995-01-11T10:35:00Z
Ocean Beach,WINTER,1994,1/11/1995,10,Yes,8,0,0,0,1,0,0,0,0,,,,1995-01-11T10:35:00Z,1995-01-11T10:45:00Z
Ocean Beach,WINTER,1994,1/11/1995,11,Yes,8,0,3,1,1,0,0,0,0,,,,1995-01-11T10:45:00Z,1995-01-11T10:52:00Z
Ocean Beach,WINTER,1994,1/11/1995,12,Yes,10,0,0,0,0,0,0,0,0,,,,1995-01-11T10:52:00Z,1995-01-11T11:06:00Z
Ocean Beach,WINTER,1994,1/11/1995,13,No,2,0,0,0,0,0,0,0,0,,,,1995-01-11T11:06:00Z,1995-01-11T11:30:00Z
Ocean Beach,WINTER,1994,1/11/1995,14,No,0,0,0,0,0,0,0,0,0,not surveyed,,,1995-01-11T11:30:00Z,1995-01-11T11:30:00Z
Ocean Beach,WINTER,1994,1/14/1995,1,No,18,1,0,0,0,0,0,0,0,,,,1995-01-14T15:21:00Z,1995-01-14T15:25:00Z
Ocean Beach,WINTER,1994,1/14/1995,2,No,14,1,1,0,0,0,0,0,0,,,,1995-01-14T15:12:00Z,1995-01-14T15:21:00Z
Ocean Beach,WINTER,1994,1/14/1995,3,No,22,0,1,8,0,0,0,0,0,,,,1995-01-14T15:00:00Z,1995-01-14T15:12:00Z
Ocean Beach,WINTER,1994,1/14/1995,4,Yes,28,0,1,0,0,0,0,0,0,5 hmans w/bikes,,,1995-01-14T14:46:00Z,1995-01-14T15:00:00Z
Ocean Beach,WINTER,1994,1/14/1995,5,Yes,30,0,8,1,1,0,0,0,0,,,,1995-01-14T14:21:00Z,1995-01-14T14:46:00Z
Ocean Beach,WINTER,1994,1/14/1995,6,Yes,22,0,3,3,0,0,0,0,0,fire/12martial arts,,,1995-01-14T14:04:00Z,1995-01-14T14:21:00Z
Ocean Beach,WINTER,1994,1/14/1995,7,Yes,20,0,5,4,0,0,0,0,0,,,,1995-01-14T13:26:00Z,1995-01-14T14:04:00Z
Ocean Beach,WINTER,1994,1/14/1995,8,Yes,14,1,1,3,1,0,0,0,0,,,,1995-01-14T13:46:00Z,1995-01-14T14:15:00Z
Ocean Beach,WINTER,1994,1/14/1995,9,Yes,15,2,1,1,1,0,0,0,0,,,,1995-01-14T14:15:00Z,1995-01-14T14:40:00Z
Ocean Beach,WINTER,1994,1/14/1995,10,Yes,20,1,0,2,0,0,0,0,0,,,,1995-01-14T14:40:00Z,1995-01-14T15:01:00Z
Ocean Beach,WINTER,1994,1/14/1995,11,Yes,6,1,0,3,0,0,0,0,0,,,,1995-01-14T15:01:00Z,1995-01-14T15:11:00Z
Ocean Beach,WINTER,1994,1/14/1995,12,Yes,23,0,0,2,0,0,0,0,0,,,,1995-01-14T15:11:00Z,1995-01-14T15:15:00Z
Ocean Beach,WINTER,1994,1/14/1995,13,No,6,0,0,2,0,0,0,0,0,,,,1995-01-14T15:15:00Z,1995-01-14T15:25:00Z
Ocean Beach,WINTER,1994,1/14/1995,14,No,8,0,2,2,0,0,0,0,0,,,,1995-01-14T15:25:00Z,1995-01-14T15:30:00Z
Ocean Beach,WINTER,1994,1/17/1995,1,No,33,0,0,0,0,0,0,0,0,Ranger walk,,,1995-01-17T11:23:00Z,1995-01-17T11:25:00Z
Ocean Beach,WINTER,1994,1/17/1995,2,No,13,1,2,0,0,0,0,0,1,"bulldozer,5 surfers",,,1995-01-17T11:10:00Z,1995-01-17T11:23:00Z
Ocean Beach,WINTER,1994,1/17/1995,3,No,7,0,2,0,0,0,0,0,0,,,,1995-01-17T11:00:00Z,1995-01-17T11:10:00Z
Ocean Beach,WINTER,1994,1/17/1995,4,Yes,23,1,10,1,0,0,0,0,0,,,,1995-01-17T10:40:00Z,1995-01-17T11:00:00Z
Ocean Beach,WINTER,1994,1/17/1995,5,Yes,18,2,3,2,0,0,0,0,0,"DL dist plovers,1 hc",,,1995-01-17T10:10:00Z,1995-01-17T10:40:00Z
Ocean Beach,WINTER,1994,1/17/1995,6,Yes,7,3,1,0,1,0,0,0,0,,,,1995-01-17T09:45:00Z,1995-01-17T10:10:00Z
Ocean Beach,WINTER,1994,1/17/1995,7,Yes,11,1,2,2,0,0,0,0,0,,,,1995-01-17T09:30:00Z,1995-01-17T09:45:00Z
Ocean Beach,WINTER,1994,1/17/1995,8,Yes,12,1,2,3,2,0,0,0,0,,,,1995-01-17T09:30:00Z,1995-01-17T10:10:00Z
Ocean Beach,WINTER,1994,1/17/1995,9,Yes,10,0,0,0,0,0,0,0,0,1 low hc,,,1995-01-17T10:10:00Z,1995-01-17T10:45:00Z
Ocean Beach,WINTER,1994,1/17/1995,10,Yes,7,0,0,0,0,0,0,0,0,,,,1995-01-17T10:45:00Z,1995-01-17T11:00:00Z
Ocean Beach,WINTER,1994,1/17/1995,11,Yes,4,0,1,1,0,0,0,0,0,,,,1995-01-17T11:00:00Z,1995-01-17T11:10:00Z
Ocean Beach,WINTER,1994,1/17/1995,12,Yes,12,0,0,2,0,0,0,0,0,,,,1995-01-17T11:10:00Z,1995-01-17T11:20:00Z
Ocean Beach,WINTER,1994,1/17/1995,13,No,1,0,0,0,0,0,0,0,0,"end 1125, no beach",,,1995-01-17T11:20:00Z,1995-01-17T11:25:00Z
Ocean Beach,WINTER,1994,1/17/1995,14,No,0,0,0,0,0,0,0,0,0,not surveyed,,,1995-01-17T11:25:00Z,1995-01-17T11:25:00Z
Ocean Beach,WINTER,1994,1/21/1995,1,No,8,0,0,0,0,0,0,0,0,,,,1995-01-21T14:48:00Z,1995-01-21T15:00:00Z
Ocean Beach,WINTER,1994,1/21/1995,2,No,31,0,1,2,1,0,0,0,0,,,,1995-01-21T14:40:00Z,1995-01-21T14:48:00Z
Ocean Beach,WINTER,1994,1/21/1995,3,No,35,0,0,1,0,0,0,0,0,,,,1995-01-21T14:30:00Z,1995-01-21T14:40:00Z
Ocean Beach,WINTER,1994,1/21/1995,4,Yes,43,2,0,4,1,0,0,7,0,,,,1995-01-21T14:15:00Z,1995-01-21T14:30:00Z
Ocean Beach,WINTER,1994,1/21/1995,5,Yes,22,1,0,3,0,1,0,0,0,,,,1995-01-21T14:05:00Z,1995-01-21T14:15:00Z
Ocean Beach,WINTER,1994,1/21/1995,6,Yes,38,2,0,8,1,1,0,0,0,,,,1995-01-21T13:36:00Z,1995-01-21T14:05:00Z
Ocean Beach,WINTER,1994,1/21/1995,7,Yes,20,1,0,1,1,0,0,0,0,,,,1995-01-21T13:25:00Z,1995-01-21T13:36:00Z
Ocean Beach,WINTER,1994,1/21/1995,8,Yes,27,1,2,1,1,2,0,0,0,,,,1995-01-21T13:20:00Z,1995-01-21T14:00:00Z
Ocean Beach,WINTER,1994,1/21/1995,9,Yes,29,1,2,2,2,1,0,0,0,,,,1995-01-21T14:00:00Z,1995-01-21T14:35:00Z
Ocean Beach,WINTER,1994,1/21/1995,10,Yes,14,0,5,3,1,0,0,0,0,,,,1995-01-21T14:35:00Z,1995-01-21T14:50:00Z
Ocean Beach,WINTER,1994,1/21/1995,11,Yes,19,0,1,3,0,0,0,0,0,,,,1995-01-21T14:50:00Z,1995-01-21T15:05:00Z
Ocean Beach,WINTER,1994,1/21/1995,12,Yes,16,0,2,3,0,0,0,0,0,,,,1995-01-21T15:05:00Z,1995-01-21T15:15:00Z
Ocean Beach,WINTER,1994,1/21/1995,13,No,12,1,1,2,0,0,0,0,0,"end 1520, no beach",,,1995-01-21T15:15:00Z,1995-01-21T15:25:00Z
Ocean Beach,WINTER,1994,1/21/1995,14,No,0,0,0,0,0,0,0,0,0,not surveyed,,,1995-01-21T15:25:00Z,1995-01-21T15:25:00Z
Ocean Beach,WINTER,1994,1/25/1995,1,No,10,0,0,0,0,0,0,0,0,,,,1995-01-25T11:10:00Z,1995-01-25T11:15:00Z
Ocean Beach,WINTER,1994,1/25/1995,2,No,18,0,0,0,0,0,0,0,0,1hc,,,1995-01-25T11:05:00Z,1995-01-25T11:10:00Z
Ocean Beach,WINTER,1994,1/25/1995,3,No,27,0,0,1,0,0,0,0,1,1hc/1bulldozer,,,1995-01-25T10:40:00Z,1995-01-25T11:05:00Z
Ocean Beach,WINTER,1994,1/25/1995,4,Yes,25,0,1,1,0,0,0,0,0,fire,,,1995-01-25T10:25:00Z,1995-01-25T10:40:00Z
Ocean Beach,WINTER,1994,1/25/1995,5,Yes,20,0,1,1,1,0,0,0,0,,,,1995-01-25T10:00:00Z,1995-01-25T10:25:00Z
Ocean Beach,WINTER,1994,1/25/1995,6,Yes,27,0,2,1,1,0,0,0,0,"c=cormorant,fire",,,1995-01-25T09:40:00Z,1995-01-25T10:00:00Z
Ocean Beach,WINTER,1994,1/25/1995,7,Yes,13,1,2,1,0,0,0,0,0,,,,1995-01-25T09:22:00Z,1995-01-25T09:40:00Z
Ocean Beach,WINTER,1994,1/25/1995,8,Yes,19,0,0,6,0,0,0,0,0,,,,1995-01-25T09:36:00Z,1995-01-25T10:15:00Z
Ocean Beach,WINTER,1994,1/25/1995,9,Yes,15,0,1,2,0,0,0,0,0,,,,1995-01-25T10:15:00Z,1995-01-25T10:29:00Z
Ocean Beach,WINTER,1994,1/25/1995,10,Yes,6,0,0,1,0,0,0,0,0,,,,1995-01-25T10:29:00Z,1995-01-25T10:40:00Z
Ocean Beach,WINTER,1994,1/25/1995,11,Yes,5,0,0,1,0,0,0,0,0,,,,1995-01-25T10:40:00Z,1995-01-25T10:46:00Z
Ocean Beach,WINTER,1994,1/25/1995,12,Yes,4,0,0,2,0,0,0,0,0,1 low hc,,,1995-01-25T10:46:00Z,1995-01-25T10:50:00Z
Ocean Beach,WINTER,1994,1/25/1995,13,No,3,0,0,1,0,0,0,0,0,,,,1995-01-25T10:50:00Z,1995-01-25T10:55:00Z
Ocean Beach,WINTER,1994,1/25/1995,14,No,4,1,0,2,0,0,0,0,0,,,,1995-01-25T10:55:00Z,1995-01-25T11:00:00Z
Ocean Beach,WINTER,1994,1/28/1995,1,No,31,0,0,2,0,0,0,0,0,,,,1995-01-28T14:45:00Z,1995-01-28T14:50:00Z
Ocean Beach,WINTER,1994,1/28/1995,2,No,58,0,1,5,0,0,0,0,0,low plane,,,1995-01-28T14:35:00Z,1995-01-28T14:45:00Z
Ocean Beach,WINTER,1994,1/28/1995,3,No,65,1,1,0,0,0,0,1,0,"4w/frisbee,bik",,,1995-01-28T14:20:00Z,1995-01-28T14:35:00Z
Ocean Beach,WINTER,1994,1/28/1995,4,Yes,88,1,5,7,1,0,0,0,1,"1kite,car,2w/bikes",,,1995-01-28T14:00:00Z,1995-01-28T14:20:00Z
Ocean Beach,WINTER,1994,1/28/1995,5,Yes,59,0,4,2,0,0,0,0,0,,,,1995-01-28T13:45:00Z,1995-01-28T14:00:00Z
Ocean Beach,WINTER,1994,1/28/1995,6,Yes,32,0,1,1,1,0,0,0,0,1 fisherman,,,1995-01-28T13:25:00Z,1995-01-28T13:45:00Z
Ocean Beach,WINTER,1994,1/28/1995,7,Yes,39,0,0,5,2,0,0,0,0,,,,1995-01-28T13:20:00Z,1995-01-28T13:25:00Z
Ocean Beach,WINTER,1994,1/28/1995,8,Yes,20,1,2,3,2,0,0,0,0,20surfers(not in hm),,,1995-01-28T13:20:00Z,1995-01-28T13:50:00Z
Ocean Beach,WINTER,1994,1/28/1995,9,Yes,22,0,0,4,0,0,0,0,0,"15+surfers,1 bike",,,1995-01-28T13:50:00Z,1995-01-28T14:10:00Z
Ocean Beach,WINTER,1994,1/28/1995,10,Yes,21,0,1,4,0,0,0,0,0,,,,1995-01-28T14:10:00Z,1995-01-28T14:20:00Z
Ocean Beach,WINTER,1994,1/28/1995,11,Yes,26,0,2,0,0,0,0,0,0,,,,1995-01-28T14:20:00Z,1995-01-28T14:35:00Z
Ocean Beach,WINTER,1994,1/28/1995,12,Yes,10,0,1,0,1,0,0,0,0,,,,1995-01-28T14:35:00Z,1995-01-28T14:42:00Z
Ocean Beach,WINTER,1994,1/28/1995,13,No,34,1,0,2,1,0,0,0,0,,,,1995-01-28T14:42:00Z,1995-01-28T14:57:00Z
Ocean Beach,WINTER,1994,1/28/1995,14,No,42,0,1,8,0,0,0,0,0,"2planes,buow at basw",,,1995-01-28T14:57:00Z,1995-01-28T15:00:00Z
Ocean Beach,WINTER,1994,1/31/1995,1,No,3,0,0,0,0,0,0,0,1,bulldozer,,,1995-01-31T11:05:00Z,1995-01-31T11:10:00Z
Ocean Beach,WINTER,1994,1/31/1995,2,No,13,0,2,1,2,0,0,0,0,,,,1995-01-31T10:45:00Z,1995-01-31T11:05:00Z
Ocean Beach,WINTER,1994,1/31/1995,3,No,6,0,0,0,0,0,0,0,0,bulldozer marks,,,1995-01-31T10:35:00Z,1995-01-31T10:45:00Z
Ocean Beach,WINTER,1994,1/31/1995,4,Yes,20,0,0,0,0,0,0,0,0,,,,1995-01-31T10:20:00Z,1995-01-31T10:35:00Z
Ocean Beach,WINTER,1994,1/31/1995,5,Yes,10,0,3,0,1,0,0,0,0,,,,1995-01-31T10:05:00Z,1995-01-31T10:20:00Z
Ocean Beach,WINTER,1994,1/31/1995,6,Yes,7,0,2,2,1,0,0,0,0,,,,1995-01-31T09:50:00Z,1995-01-31T10:05:00Z
Ocean Beach,WINTER,1994,1/31/1995,7,Yes,16,0,2,4,0,0,0,0,0,beach narrow,,,1995-01-31T09:31:00Z,1995-01-31T09:50:00Z
Ocean Beach,WINTER,1994,1/31/1995,8,Yes,15,0,5,1,0,0,0,0,0,,,,1995-01-31T09:35:00Z,1995-01-31T10:10:00Z
Ocean Beach,WINTER,1994,1/31/1995,9,Yes,22,3,2,0,1,1,0,0,0,1 DL chasing plovers,,,1995-01-31T10:10:00Z,1995-01-31T10:54:00Z
Ocean Beach,WINTER,1994,1/31/1995,10,Yes,4,0,0,1,0,0,0,0,0,,,,1995-01-31T10:54:00Z,1995-01-31T11:05:00Z
Ocean Beach,WINTER,1994,1/31/1995,11,Yes,12,0,0,0,0,0,0,0,0,,,,1995-01-31T11:05:00Z,1995-01-31T11:20:00Z
Ocean Beach,WINTER,1994,1/31/1995,12,Yes,10,1,0,1,1,0,0,0,0,,,,1995-01-31T11:20:00Z,1995-01-31T11:40:00Z
Ocean Beach,WINTER,1994,1/31/1995,13,No,0,0,0,0,0,0,0,0,0,not surveyed,,,1995-01-31T11:40:00Z,1995-01-31T11:40:00Z
Ocean Beach,WINTER,1994,1/31/1995,14,No,0,0,0,0,0,0,0,0,0,not surveyed,,,1995-01-31T11:40:00Z,1995-01-31T11:40:00Z
